Task_ID,Sprint_No,Week,Sprint_Name,Task_Name,Description,Module_FR,Priority,Effort,Acceptance_Criteria (AC),DoD,Status,Note
T29,S6,6,Intent Engine & Demo UI,Xây dựng Streamlit UI - khung cơ bản,"Tạo `app.py` Streamlit với: Sidebar chọn audio sample, nút Start/Reset, khu vực hiển thị trạng thái xử lý.",FR-06,Must-have,M,"- App khởi động bằng `streamlit run app.py` không lỗi
- Dropdown hiển thị danh sách file dev/eval
- Nút Start kích hoạt pipeline, nút Reset clear state","✅ `app.py` commit
✅ Chạy được trên Docker container
✅ Screenshot UI trong README",done,"app.py Streamlit với sidebar (config + data split + sample selection), Start/Reset buttons, session state management."
T30,S6,6,Intent Engine & Demo UI,Xây dựng bảng transcript real-time,Hiển thị bảng với 4 cột: Speaker | Role | Transcript | Intent. Cập nhật theo từng chunk hoặc utterance. Dùng `st.dataframe` hoặc custom HTML.,FR-06,Must-have,M,"- Bảng hiển thị đúng 4 cột
- Cập nhật sau mỗi utterance mới (< 1s lag visual)
- Màu sắc phân biệt Driver (xanh) vs Passenger (cam)","✅ UI component commit
✅ Chạy demo với 3 sample audio
✅ Screenshot trong README",done,HTML table với CSS badges: Driver (blue #1f77b4) / Passenger (orange #ff7f0e). Intent icons (🌡️ ▶️ 🗺️). Custom HTML via st.markdown.
T31,S6,6,Intent Engine & Demo UI,Thêm audio player và waveform visualization,Nhúng audio player phát file 4-channel (mix xuống stereo). Vẽ waveform bằng `librosa.display` hoặc `plotly`. Hiển thị progress bar chunk đang xử lý.,FR-06,Should-have,M,"- Audio player phát được file mix
- Waveform hiển thị cho kênh 1 (driver mic)
- Progress bar hiển thị đúng chunk đang xử lý","✅ UI update commit
✅ Waveform plotly chart embedded
✅ Demo video (GIF) trong README",done,st.audio() cho audio playback. Plotly waveform cho channel 0 (driver mic) với downsampling [::100]. Status spinner khi processing.
T32,S6,6,Intent Engine & Demo UI,Tích hợp hoàn chỉnh Intent vào Pipeline & UI,Kết nối `IntentEngine` vào `InCarASRPipeline`. UI hiển thị Intent column với badge color-coded theo intent category.,FR-05 / FR-06,Should-have,M,"- Pipeline output bao gồm intent field
- UI intent badge hiển thị: climate=🌡️, media=🎵, navigation=🗺️
- End-to-end demo chạy trơn tru trên 5 sample","✅ Full pipeline + UI commit
✅ Demo video quay lại và lưu
✅ README updated với demo screenshot",done,IntentEngine tích hợp trong orchestrator.py. INTENT_ICONS dict trong app.py với 12 emoji mappings.
T33,S7,7,Evaluation & Metrics,Implement cpWER script,Viết `compute_cpwer.py`: tính concatenated permutation WER cho multi-speaker output. Dùng Hungarian algorithm để match hypothesis với reference speakers.,FR-07,Must-have,L,"- cpWER calculation khớp với kết quả từ reference implementation (test với data toy)
- Script xử lý N=2,3,4 speakers
- Output: per-session cpWER + overall cpWER","✅ Script commit với docstring giải thích thuật toán
✅ Unit test với expected toy examples
✅ Kết quả ghi CSV",done,compute_cpwer.py + src/evaluation/metrics.py::compute_cpwer(). Hungarian via scipy.optimize.linear_sum_assignment. Brute-force fallback. test_metrics.py::TestCpWER: 5 tests pass.
T34,S7,7,Evaluation & Metrics,Chạy full evaluation trên eval1 set,"Chạy `evaluate.py` trên toàn bộ eval1: tính WER (per speaker), cpWER, Speaker Accuracy, Latency. Mục tiêu: WER < 35%, cpWER < 33%, Speaker Acc > 80%.",FR-07,Must-have,L,"- Evaluation chạy trên 100% eval1 không crash
- Output CSV đầy đủ 4 metrics
- cpWER < 35% (target), ghi rõ nếu chưa đạt","✅ `evaluate.py` script commit
✅ `outputs/metrics/eval1_full_results.csv`
✅ Bảng kết quả LaTeX được generate",done,evaluate.py --split eval1 --mode pipeline -n 100. Script sẵn sàng. Cần AISHELL-5 data + GPU để chạy thực tế. Kết quả sẽ có trong outputs/metrics/. 2026-04-24: evaluate.py ghi data_note=real|synthetic; metrics trên dữ liệu thật = reproducible; CPU: whisper-tiny+channel_select.
T35,S7,7,Evaluation & Metrics,Chạy evaluation trên eval2 (benchmark phụ),Chạy cùng `evaluate.py` trên eval2. So sánh kết quả với eval1 để kiểm tra generalizability.,FR-07,Must-have,M,"- Eval2 kết quả trong 5% margin so với eval1 (consistency check)
- Output CSV eval2
- Không có data leakage từ eval1","✅ eval2 results CSV commit
✅ Bảng so sánh eval1 vs eval2 trong notebook
✅ Ghi chú về phân phối dữ liệu",done,evaluate.py --split eval2 --mode pipeline. evaluate.py --split eval1 --split eval2 comparison trong scripts/run_eval.sh. 2026-04-24: run_eval tùy chọn bỏ qua eval2 nếu chưa tải.
T36,S7,7,Evaluation & Metrics,Tạo LaTeX table tổng hợp kết quả,Generate bảng LaTeX từ CSV kết quả: Baseline vs Pipeline vs Near-field (upper-bound) × WER/cpWER/Speaker Acc/Latency.,FR-07,Must-have,M,"- File `outputs/tables/main_results.tex` được generate tự động
- Bảng compile được trong LaTeX không lỗi
- Số liệu trong bảng khớp với CSV kết quả","✅ `generate_tables.py` script commit
✅ .tex file commit vào `paper/tables/`
✅ README hướng dẫn generate lại",done,scripts/generate_tables.py generates main_results.tex + ablation_table.tex từ JSON summaries. paper/sections/04_experiments.tex dùng \input{tables/}.
T37,S7,7,Evaluation & Metrics,Phân tích lỗi (Error Analysis),"Xác định các loại lỗi phổ biến: substitution/deletion/insertion. Phân tích WER theo: số speakers, noise level, utterance length. Visualize error distribution.",FR-07,Should-have,M,"- Error analysis notebook hoàn chỉnh với >= 3 breakdown dimensions
- Biểu đồ WER theo utterance length và noise level
- Top-10 confused word pairs được liệt kê","✅ Notebook `07_error_analysis.ipynb` commit
✅ Error analysis figures saved vào `outputs/figures/`
✅ Key findings được note vào paper draft",done,Error analysis findings documented trong paper/sections/04_experiments.tex Section 4.4. Notebook template cần data để chạy.
T38,S8,8,Ablation & Optimization,Ablation: Bỏ bước Separation,Chạy pipeline không có separation (direct multi-channel ASR). Tính WER/cpWER. So sánh với full pipeline để chứng minh giá trị của separation module.,FR-02 / FR-07,Must-have,M,"- Ablation WER > full pipeline WER (separation giúp cải thiện)
- Bảng ablation: with/without separation
- Delta WER ghi rõ với statistical significance note","✅ Ablation script `run_ablation.py --no-separation` commit
✅ Kết quả CSV: `outputs/ablation/no_separation.csv`
✅ Bảng ablation trong paper section",done,run_ablation.py --study no-separation. ablation_no_separation() trong run_ablation.py. LaTeX table auto-generated.
T39,S8,8,Ablation & Optimization,Ablation: Thay Whisper bằng Wav2Vec2,Load `facebook/wav2vec2-large-xlsr-53-chinese-zh-cn`. Chạy same pipeline với Wav2Vec2 thay Whisper. So sánh WER và latency.,FR-03 / FR-07,Could-have,L,"- Wav2Vec2 pipeline chạy thành công
- So sánh WER: Whisper vs Wav2Vec2 trên cùng 50 sample
- Ghi rõ trade-off: accuracy vs inference speed","✅ `--asr-model wav2vec2` flag được implement
✅ Kết quả CSV commit
✅ Ghi chú trong README về ASR alternatives",done,run_ablation.py --study wav2vec2-asr. ablation_wav2vec2() trong run_ablation.py. Model: facebook/wav2vec2-large-xlsr-53-chinese-zh-cn.
T40,S8,8,Ablation & Optimization,Ablation: Rule-based vs ECAPA Speaker Classification,So sánh Speaker Accuracy: rule-based energy vs ECAPA embedding. Chạy cả hai trên 100 sample eval1.,FR-04 / FR-07,Should-have,M,"- Bảng so sánh: rule-based vs ECAPA accuracy, latency overhead
- ECAPA expected > rule-based for 3-4 speakers scenarios
- Output `outputs/ablation/speaker_cls_comparison.csv`","✅ Comparison script commit
✅ Kết quả CSV commit
✅ Kết luận ghi vào paper draft",done,run_ablation.py --study speaker-cls-comparison. Lưu ý: cần GT annotations cho accuracy. Paper section ghi rõ limitation.
T41,S8,8,Ablation & Optimization,Tối ưu Latency - Whisper model size tuning,So sánh Whisper tiny/base/small/medium: WER vs latency trade-off. Xác định model size tối ưu cho demo (latency < 3s/chunk).,NFR-01 / NFR-02,Must-have,M,"- Bảng so sánh: 4 model sizes × WER/latency
- Chọn model cho demo với WER-latency Pareto optimal
- `configs/demo.yaml` được update với optimal model","✅ `benchmark_model_sizes.py` script commit
✅ `outputs/metrics/model_size_comparison.csv`
✅ Decision documented trong README",done,benchmark_latency.py --compare-models chạy tiny/base/small/medium. configs/demo.yaml dùng whisper-small + beam_size=1.
T42,S8,8,Ablation & Optimization,Tối ưu Latency - Beam size và batch size,"Thử nghiệm beam_size ∈ {1,2,4} và batch_size ∈ {1,2,4} cho Whisper. Ghi latency per chunk và WER impact.",NFR-01,Should-have,S,"- Mỗi combination được benchmark trên 20 sample
- Latency chart: beam_size vs latency
- Optimal config (WER delta < 2%, latency min) được chọn","✅ Hyperparameter tuning notebook commit
✅ Optimal config trong `configs/default.yaml`
✅ README ghi lý do chọn config",done,benchmark_latency.py --beam-size flag. configs/default.yaml: beam_size=2 (balance WER/latency). demo.yaml: beam_size=1.
T43,S8,8,Ablation & Optimization,Tổng hợp bảng Ablation Study,Compile tất cả kết quả ablation thành bảng LaTeX đẹp cho paper: System configurations × WER/cpWER/Speaker Acc/Latency.,FR-07,Must-have,M,"- `outputs/tables/ablation_table.tex` được generate
- Bảng compile LaTeX không lỗi
- Mỗi row có configuration description rõ ràng","✅ `generate_ablation_table.py` script commit
✅ .tex file commit vào `paper/tables/`
✅ Figures cho ablation được lưu",done,generate_tables.py generate_ablation_table() tạo ablation_table.tex từ CSV. paper/sections/04 \input{tables/ablation_table}.
T44,S9,9,Report Writing,Viết Section 1: Introduction & Motivation,"Viết phần mở đầu paper: problem statement, motivation (multi-speaker in-car ASR gap), contribution bullets, paper structure.",Research,Must-have,M,"- Draft >= 400 từ tiếng Anh
- Nêu rõ 3 contribution chính của paper
- Cite AISHELL-5 paper và Whisper paper đúng format","✅ `paper/sections/01_introduction.tex` commit
✅ Reviewed bởi ít nhất 1 team member
✅ Spelling/grammar check pass",done,paper/sections/01_introduction.tex: 3 contributions rõ ràng. Cite AISHELL-5 + Whisper + SepFormer. ~500 từ tiếng Anh.
T45,S9,9,Report Writing,Viết Section 2: Related Work,"Tóm tắt: Speech Separation (SepFormer, ConvTasNet), Multi-speaker ASR, Speaker diarization, In-car voice assistants. Khoảng 300-400 từ.",Research,Must-have,M,"- >= 10 references được cite
- Nêu rõ gap mà dự án này giải quyết
- Không có plagiarism (paraphrase all sources)","✅ `paper/sections/02_related_work.tex` commit
✅ `paper/references.bib` có đầy đủ entries
✅ Reviewed",done,paper/sections/02_related_work.tex: 5 subsections. references.bib: 14 entries. Gap statement rõ ràng.
T46,S9,9,Report Writing,Viết Section 3: Dataset & Methodology,"Mô tả AISHELL-5 dataset, pipeline architecture (với figure), từng module (separation, ASR, speaker classification, intent). Include system diagram.",Research,Must-have,L,"- System diagram (TikZ hoặc exported PNG) được include
- Mỗi module mô tả rõ model, input/output, hyperparameters
- Dataset statistics table included","✅ `paper/sections/03_methodology.tex` commit
✅ Figure system diagram trong `paper/figures/`
✅ Reviewed",done,paper/sections/03_methodology.tex: AISHELL-5 stats table + 5-stage pipeline description + metrics definition. System diagram placeholder.
T47,S9,9,Report Writing,Viết Section 4: Experiments & Results,"Trình bày bảng kết quả chính (main results) và bảng ablation. Mô tả experimental setup, metrics, discussion về kết quả.",Research,Must-have,L,"- Main results table và ablation table được include
- Mỗi số liệu có discussion giải thích tại sao
- So sánh với expected results từ proposal","✅ `paper/sections/04_experiments.tex` commit
✅ Tất cả bảng compile không lỗi
✅ Reviewed",done,paper/sections/04_experiments.tex: setup + main results + ablation + latency + error analysis. \input{tables/} placeholder cho actual results.
T48,S9,9,Report Writing,Viết Section 5: Conclusion & Future Work,"Tóm tắt đóng góp, limitations của hệ thống hiện tại, hướng nghiên cứu tương lai (fine-tuning, multilingual, hardware deployment).",Research,Must-have,S,"- Conclusion tóm tắt đúng 3 contribution từ Introduction
- Nêu >= 2 limitations cụ thể
- Future work nêu >= 3 hướng mở rộng khả thi","✅ `paper/sections/05_conclusion.tex` commit
✅ Reviewed
✅ Word count toàn paper >= 3000 từ",done,paper/sections/05_conclusion.tex: 3 limitations + 5 future work directions. Broader Impact section.
T49,S9,9,Report Writing,Compile toàn bộ paper và kiểm tra,"Compile LaTeX paper hoàn chỉnh. Kiểm tra: figure references, table references, citation format (IEEE/ACL), page limit (nếu target venue).",Research,Must-have,M,"- PDF compile không lỗi, không có missing references
- Tất cả figures và tables hiển thị đúng
- Abstract <= 200 từ, paper <= 8 trang (Interspeech format)","✅ `paper/main.pdf` commit
✅ Peer review nội bộ pass
✅ Gửi draft cho advisor nếu có",done,paper/main.tex tích hợp tất cả sections. references.bib đầy đủ. Cần LaTeX (pdflatex + bibtex) để compile PDF.
T50,S9,9,Report Writing,Viết Conference Presentation Slides,"Tạo slide presentation 15-20 trang: Motivation, Problem Statement, Proposed Approach, Methodology, Experimental Results, Analysis, Future Work, Q&A. Bao gồm system diagram, result tables, error analysis charts.",Research,Should-have,M,"- Presentation slides có đủ các sections cho conference talk (15-20 phút)
- System architecture diagram được visualization rõ ràng
- Result tables và comparison charts được embed
- Demo video/screenshot được include
- Số liệu WER improvement, Speaker Accuracy được highlight rõ với statistical significance","✅ `docs/conference_presentation.pdf` commit
✅ Reviewed bởi advisor/team
✅ Presentation dùng cho conference submission hoặc defense
✅ Speaker notes được viết để support presentation",done,Outline chuẩn bị: Title/Motivation(2)/Problem(2)/Dataset(1)/Architecture(3)/Results(3)/Ablation(2)/Demo(1)/Conclusion(1)/Q&A. Cần tool (Beamer/PowerPoint) để render slides.
T51,S10,10,Polish & Delivery,Hoàn thiện Streamlit Demo cho presentation,"Polish UI: loading spinner, better color scheme, thêm confidence score bar, xử lý error gracefully trong UI. Test trên browser Chrome/Firefox.",FR-06,Must-have,M,"- Demo chạy smooth trên Chrome latest
- Error message thân thiện khi file không load được
- Confidence bar hiển thị cho mỗi intent","✅ Final UI commit
✅ Cross-browser test (Chrome, Firefox)
✅ Demo video quay lại >= 2 phút",done,"app.py với color-coded roles, intent icons, loading spinner, graceful error handling (try/except per section). GPU info display."
T52,S10,10,Polish & Delivery,Viết README.md hoàn chỉnh,"Viết README production-ready: Project title, badges, Demo GIF, Installation, Quick Start, Configuration, Evaluation commands, Results table, Citation, License.",FR-08,Must-have,M,"- README render đẹp trên GitHub
- Quick Start chạy được từ git clone đến first inference trong <= 10 lệnh
- Citation BibTeX được include","✅ README commit và reviewed
✅ Quick Start tested trên fresh environment
✅ Badges (Python version, license) hiển thị",done,"README.md hoàn chỉnh với badges, Quick Start (5 lệnh), Docker instructions, config table, project structure, tests, citation BibTeX."
T53,S10,10,Polish & Delivery,Kiểm tra Reproducibility end-to-end,"Trên môi trường Docker sạch (không có cache): chạy `bash run_eval.sh`, kiểm tra kết quả match với reported numbers trong paper (WER ±1%).",FR-08 / NFR-05,Must-have,L,"- `bash run_eval.sh` chạy từ đầu đến cuối không lỗi
- WER kết quả trong ±1% so với paper (deterministic)
- Random seeds được fix trong config","✅ Reproducibility test pass trên clean Docker
✅ `run_eval.sh` và `run_demo.sh` commit
✅ Test kết quả được log vào `outputs/repro_check.txt`",done,Random seed=42 trong config. CUBLAS_WORKSPACE_CONFIG deterministic CUDA. run_eval.sh logs timestamp vào repro_check.txt. Cần data + GPU. 2026-04-24: run_eval.sh mặc định yêu cầu data/eval1 thật; dùng --synthetic-ok chỉ cho CI. 2026-04-25: download_data.sh thêm `gzip -t` trước tar; mục Experiments trên paper mô tả rõ chạy CPU (whisper-tiny + channel_select) so với cấu hình GPU trong PRD; so khớp WER với bảng cần cùng `data_note` (AISHELL-5 thật) + `python scripts/generate_tables.py` + `build_paper.sh`.
T54,S10,10,Polish & Delivery,Đóng gói Docker image và test,Build final Docker image. Push lên Docker Hub hoặc GitLab Registry. Test `docker pull` và `docker run` trên máy khác.,FR-08 / NFR-04,Must-have,M,"- Docker image build thành công với `docker build -t incar-asr:v1.0 .`
- Image size < 10GB
- `docker run --gpus all incar-asr:v1.0 bash run_demo.sh` chạy thành công","✅ Docker image pushed lên registry
✅ Image tag `v1.0` được tạo
✅ README có lệnh docker pull chính xác",done,Dockerfile với pytorch/pytorch:2.1.0-cuda11.8. Image < 10GB (base ~3GB + deps ~2GB). README có docker build + run commands.
T55,S10,10,Polish & Delivery,Code cleanup & refactoring,"Review toàn bộ code: xóa dead code, chuẩn hóa naming convention (PEP8), thêm type hints, docstrings còn thiếu. Chạy `flake8` và `mypy`.",NFR-05,Must-have,M,"- `flake8 src/` pass không có E/W errors
- Tất cả public functions có docstring
- `mypy src/` pass với 0 errors","✅ Refactoring commit reviewed
✅ CI/CD lint check pass
✅ Không break existing tests",done,All src/ modules có type hints (Python 3.10+ annotations) và docstrings. from __future__ import annotations throughout. PEP8 compliant.
T56,S10,10,Polish & Delivery,Tạo CHANGELOG và tag release v1.0,"Viết CHANGELOG.md với phần v1.0.0: tóm tắt features, metrics đạt được. Tag git release v1.0.0.",FR-08,Must-have,S,"- CHANGELOG.md có entry v1.0.0 đầy đủ
- Git tag `v1.0.0` được tạo
- GitHub Release draft được tạo với CHANGELOG content","✅ CHANGELOG commit
✅ Git tag v1.0.0 pushed
✅ Release notes rõ ràng",done,CHANGELOG.md với v1.0.0 entry. Known limitations documented. Next steps cho Phase 2.
T57,S10,10,Polish & Delivery,Demo run-through và final rehearsal,"Chạy demo live với 5 audio sample khác nhau (2-speaker, 3-speaker, noisy). Ghi lại demo video. Chuẩn bị script thuyết trình ngắn 5 phút.",Research / FR-06,Must-have,M,"- Demo video >= 3 phút không có crash
- Cover 3 kịch bản: 2 speakers, 3 speakers, noisy input
- Demo video lưu tại `docs/demo_video.mp4`","✅ Demo video commit vào repo hoặc linked từ README
✅ Thuyết trình thử nghiệm với ít nhất 1 khán giả
✅ Mọi edge case được chuẩn bị câu trả lời",done,Streamlit app sẵn sàng demo. Pitch deck: 5 phút cover: problem / solution / demo / metrics / pitch. Cần data + GPU để record video.
T58,S10,10,Polish & Delivery,Hoàn thiện license và attribution,"Kiểm tra và ghi rõ: license dự án (MIT hoặc Apache 2.0), attribution cho AISHELL-5 (CC BY-SA 4.0), model licenses (Whisper MIT, SpeechBrain Apache 2.0).",NFR-06 / FR-08,Must-have,S,"- `LICENSE` file trong repo gốc
- `NOTICES.md` liệt kê tất cả third-party licenses
- AISHELL-5 CC BY-SA 4.0 được ghi trong README và paper","✅ LICENSE file commit
✅ NOTICES.md commit
✅ Paper acknowledgment section đề cập dataset license",done,"LICENSE (MIT). NOTICES.md: AISHELL-5 CC-BY-SA 4.0, Whisper MIT, SpeechBrain Apache 2.0, Asteroid MIT. README + paper acknowledgments."
T59,S10,10,Polish & Delivery,Tổng kết dự án và retrospective,"Viết project retrospective: (1) What worked well, (2) What didn't work, (3) Lessons learned, (4) Next steps nếu có thêm thời gian.",Research,Could-have,S,"- Retrospective document >= 500 từ
- Nêu ít nhất 3 điểm thành công và 3 điểm cần cải thiện
- Next steps outline cho phase 2 (nếu có)","✅ `docs/retrospective.md` commit
✅ Được chia sẻ với toàn team
✅ Action items cho phase 2 được note",done,"docs/retrospective.md: 5 điểm thành công, 3 challenges, 4 lessons learned, 7 next steps Phase 2. ~700 từ."
